Technologie;Data Engineering / Data Architecture;Data Science / AI;Microsoft Azure App Development;Microsoft Azure Administration;Front-End Development;Microsoft Back-End Development;Microsoft Low Code Development;Microsoft Integration Development;Java Back-End Development;Application Architecture;Infrastructure Engineering;Mobile Development;Way of Working (WoW);Product Owner / Analist / Requirements engineer;General;Opmerkingen Nico & Bas
Docker Compose;;;X;;X;X;;;X;;X;;;;;
Domain Name System;;;;;;;;;;;X;;;;;
Domain-Driven Design;X;;;;;;;;;X;;;;;;
Elastic;X;;;;;;;;X;X;;;;;;
Elastic LogStash Kibana (ELK);;;;;;;;;X;X;X;;;;;
Entity Framework;;;;;;X;;;;;;;;;;
Entity Framework Migrations;;;;;;X;;;;;;;;;;
Espresso;;;;;;;;;;;;X;;;;
Event Driven Architecture / Event sourcing;;;;;;;;;;X;;;;;;
Expert Estimation;;;;;;;;;;;;;;;X;
Explainable AI;;X;;;;;;;;;;;;;;
File formats for Data Lake / Data Engineering / Machine Learning (csv, xml, json, parquet, avro, ...);X;X;;;;;;;;;;;;;;
Flutter;;;;;;;;;;;;X;;;;
Function Point Analysis;;;;;;;;;;;;;X;;;
Gatlin;;;;;;;;;X;;;;;;;
GDPR / AVG;X;X;X;X;X;X;X;X;;;;;;;X;
Generative AI (OpenAI GPT-4, ChatGPT, StableDiffusion, MidJourney, ...);X;X;X;X;X;X;X;X;;;;;;;X;
Gherkin/Cucumber ;;;;;;;;;X;;;;;;;
Git;X;X;X;X;X;X;X;X;X;;;;;;;
GitHub (Enterprise);X;X;X;X;X;X;X;X;X;;;;;;;
Github Copilot;X;X;X;;X;X;X;;X;X;;x;;;;
GitOps;X;X;;;;;;;;X;X;;;;;
Great Expectations;X;;;;;;;;;;;;;;;
Helm;;;X;X;;X;;;X;;X;;;;;
Highlight Report;;;;;;;;;;;;;X;;;
Hyper-V;;;;;;;;;;;X;;;;;
Impact Mapping;;;;;;;;;;;;;X;;;
Infrastructure as code;;;;;;;;;;;;;;;X;
IntelliJ;;;;;;;;;X;;;;;;;
InterpretML;;X;;;;;;;;;;;;;;
iOS platform kennis;;;;;;;;;;;;X;;;;
IT Service Management (ITIL);;;;;;;;;;;;;X;;;
Jetpack Compose;;;;;;;;;;;;X;;;;
JPA (Open JPA);;;;;;;;;X;;;;;;;
Juniper Networking;;;;;;;;;;;X;;;;;
JUnit 5 (Jupiter);;;;;;;;;X;;;;;;;
Kanban;;;;;;;;;;;;;;;X;
KeyCloak;;;;;;;;;X;;X;;;;;
Kotlin;;;;;;;;;X;;;;;;;
Kubernetes;;X;X;X;;X;;;X;X;X;;;;;
LeSS;;;;;;;;;;;;;X;;;
Linux;;;;;;;;;;;;;;;x;
Liquibase / Flyway;;;;;;;;;X;;;;;;;
'LTS' Java versions;;;;;;;;;X;;;;;;;
Maven;;;;;;;;;X;;;;;;;
Micro-service architecture;;;;;;;;;;X;;;;;;
Microsoft Purview;X;X;;;;;;;;;;;;;;
MLflow;;X;;;;;;;;;;;;;;
MLOps;;X;;;;;;;;;;;;;;
Mockito;;;;;;;;;X;;;;;;;
Mongo DB;;;;;;;;;;X;;;;;;
Monitoring (Azure Monitor, SCOM, PRTG, etc);;;;;;;;;;;X;;;;;
Neo4J;;;;;;;;;;X;;;;;;
Next.js;;;;;X;;;;;;;;;;;
NGINX;;;;;;;;;X;X;X;;;;;
Node.js;;;;;X;;;;;;;;;;;
Non-Oracle JVMs;;;;;;;;;X;;;;;;;
Notification Hubs;;;;;X;;;;;;;;;;;
Onion Architecture;;;;;;;;;;x;;;;;;
Pandas;X;X;;;;;;;;;;;;;;
Pentesting;;;;;;;;;;;;;;;X;
Performance/reliability testing;;;;;;;;;;;;;;;X;
Python;;;;;X;;;;;;;;;;;
Playwright;;;;;;;;;X;;;;;;;
PostgreSQL;X;;;;;;;;X;X;;;;;;
Power Apps;;;;;;;X;;;;;;;;;
Power BI ;X;X;;;;;;;;;;;;;;
PowerShell;X;X;X;X;;;;;;;X;;;;;
Prefect;;X;;;;;;;;;;;;;;
Prometheus/Grafana;;;;;;;;;;X;X;;;;;
Pulumi;;;;X;;;;;;;X;;;;;
Pytest;X;X;;;;;;;;;;;;;;
Python (for data/ai/general purpose);X;X;;;;;;;;;;;;;;
PyTorch;;X;;;;;;;;;;;;;;
RabbitMQ;;;;;;;;;X;X;X;;;;;
Roll-based access control (RBAC);X;X;;;;;;;;X;X;;;;;
React;;;;;X;;;;;;;;;;;
React with Next.js;;;;;;;;;;;;;;;;
React native;;;;;;;;;;;;X;;;;
Reactive manifesto;;;;;;;;;;X;;;;;;
Requirements Analysis ;;;;;;;;;;X;X;;x;;;
Requirements Definition;;;;;;;;;;;;;X;;;
Risk Assessments;;;;;;;;;;x;x;;x;;;
Roadmapping / scope management;;;;;;;;;;;;;x;;;
Routing/Firewalling;;;;;;;;;;;x;;;;;
Reactive Extensions for JavaScript (RxJS);;;;;X;;;;;;;;;;;
SAFe;;;;;;;;;;;;;;;x;
Saga Pattern;;;;;;;;;;x;;;;;;
Scaled Agile;;;;;;;;;;;;;;;x;
Scikit-learn;;X;;;;;;;;;;;;;;
Scipy;;X;;;;;;;;;;;;;;
Scrum;;;;;;;;;;;;;;;x;
Service level management (SLA);;;;;;;;;;;;;;;x;
SonarQube;;;X;;X;X;X;X;X;;;;;;;
Specification by Example;;;;;;;;;;;;;;;x;
Spring / Spring Boot;;;;;;;;;X;;;;;;;
SQL (T-SQL, PL-SQL, ...);X;X;X;;;X;;;X;;;;;;x;
SQL Server;X;;;;;X;;;;x;x;;;;;
Stakeholder management;;;;;;;;;;;;;x;;;
Storage Area Networks;;;;;;;;;;;x;;;;;
Story Mapping;;;;;;;;;;;;;x;;;
Streamlit;X;X;;;;;;;;;;;;;;
Stryker;;;;;X;;;;;;;;;;;
Supply chain security (dependency analysis / CVE);;;;;;;;;;;;;;;x;
Svelte;;;;;X;;;;;;;;;;;
Switching;;;;;;;;;;;x;;;;;
Tailwind CSS;;;;;X;;;;;;;;;;;
Technical debt management;;;;;;;;;;;;;;;x;
Tensorflow;;X;;;;;;;;;;;;;;
Terraform / OpenTofu;X;X;;X;;;;;X;;X;;;;;
Test (automation) strategy (i.e. test pyramide);;;;;;;;;;;;;x;;;
TestContainers;;;X;;;X;;X;X;;;;;;;
Test-driven development;;;;;;;;;;;;;;;X;
Togaf;;;;;;;;;;x;;;;;;
Typescript/Javascript;;;;;X;;;;;;;;;;;
Unit testen;;;;;;;;;;;;;;;x;
Visual Studio App Center;;;;;X;;;;;;;;;;;
Vite;;;;;X;;;;;;;;;;;
VMWare Cloud Director;;;;;;;;;;;x;;;;;
VMWare vCenter;;;;;;;;;;;X;;;;;
Vue.js;;;;;X;;;;;;;;;;;
Vulnerability management;;;;;;;;;;;;;;;x;
WAN connections (Dark Fiber, etc);;;;;;;;;;;x;;;;;
Web Components;;;;;X;;;;;;;;;;;
Windows Server;;;;;;X;;;;;;;;;x;
Eventstorming (DDD);;;;;;;;;;;;;;X;;
Zero defect policy;;;;;;;;;;;;;;;X;
Zero downtime deployments;;;;;;;;;;X;;;;;;
Business Process modelling;;;;;;;;;;;;;;X;;
Microservices Architecture;;;;;;;;;;X;;;;;;
Service Oriented Architecture;;;;;;;;;;X;;;;;;
MVP (Minimal Viable Product) thinking;;;;;;;;;;;;;;X;;
